alpha,gamma,h,T_max,seed,N,loss_final,err_vs_yext_inf,residual_inf,residual_int_inf,residual_full_inf,L1_consistency_err,iters_adam,wall_time_s
1.1,3.1,0.05,30.0,2,600,4.455426589440685e-08,0.021538510035835956,0.0025271465043675834,0.0025271465043675834,0.0025271465043675834,0.07451725838553469,8000,8.547451972961426
1.1,3.1,0.05,30.0,3,600,4.921368501379256e-08,0.022483101707034825,0.0026618063209977727,0.0026618063209977727,0.0026618063209977727,0.07451725838553469,8000,8.551862955093384
1.1,3.1,0.05,30.0,4,600,4.380313764387706e-08,0.021888496366483268,0.0023470025146977713,0.0023470025146977713,0.0023470025146977713,0.07451725838553469,8000,8.152268171310425
1.1,3.1,0.025,30.0,0,1200,2.389218032798657e-09,0.01162095705304933,0.000898805067860442,0.000898805067860442,0.000898805067860442,0.03859083516693951,8000,19.990603923797607
1.1,3.1,0.025,30.0,1,1200,1.7621657565523745e-09,0.01074458888013019,0.0008023309505951204,0.0008023309505951204,0.0008023309505951204,0.03859083516693951,8000,20.038037061691284
1.1,3.1,0.025,30.0,2,1200,1.736174425767295e-09,0.010691396873614978,0.0007249737282710722,0.0007249737282710722,0.0007249737282710722,0.03859083516693951,8000,20.055643796920776
1.1,3.1,0.025,30.0,3,1200,2.7930070483369587e-09,0.011572609944437318,0.0009485549228614998,0.0009485549228614998,0.0009485549228614998,0.03859083516693951,8000,20.18123197555542
1.1,3.1,0.025,30.0,4,1200,1.8223122900553323e-09,0.011099012009955611,0.0007800589348461173,0.0007800589348461173,0.0007800589348461173,0.03859083516693951,8000,20.2482430934906
1.1,3.1,0.0125,30.0,0,2400,1.4509376623891949e-09,0.0060758484867824425,0.000562747716317813,0.000562747716317813,0.000562747716317813,0.019416261158164083,8000,73.6947078704834
1.1,3.1,0.0125,30.0,1,2400,8.170555835261978e-10,0.005223262320835309,0.00045976911212552984,0.00045976911212552984,0.00045976911212552984,0.019416261158164083,8000,73.7480092048645
1.1,3.1,0.0125,30.0,2,2400,1.1539945512768485e-09,0.005156231215148355,0.0003913867359708334,0.0003913867359708334,0.0003913867359708334,0.019416261158164083,8000,73.8211510181427
1.1,3.1,0.0125,30.0,3,2400,1.800943375500931e-09,0.006004010469849441,0.0006094813324950543,0.0006094813324950543,0.0006094813324950543,0.019416261158164083,8000,73.6339361667633
1.1,3.1,0.0125,30.0,4,2400,8.317699941243645e-10,0.005565993101279976,0.0004584661694794212,0.0004584661694794212,0.0004584661694794212,0.019416261158164083,8000,96.44232392311096
1.1,3.6,0.4,30.0,0,75,0.0002788931143605991,0.13167768909989674,0.07202620607612575,0.07202620607612575,0.07202620607612575,0.24759287948798714,8000,3.924617052078247
1.1,3.6,0.4,30.0,1,75,0.0002783517740292507,0.12882994060639316,0.0718179474265131,0.0718179474265131,0.0718179474265131,0.24759287948798714,8000,4.400445938110352
1.1,3.6,0.4,30.0,2,75,0.00027840797521894395,0.12938433357993012,0.07188362984048774,0.07188362984048774,0.07188362984048774,0.24759287948798714,8000,3.913261890411377
1.1,3.6,0.4,30.0,3,75,0.00027841818264942266,0.12891516148401164,0.07189590708039895,0.07189590708039895,0.07189590708039895,0.24759287948798714,8000,3.9152698516845703
1.1,3.6,0.4,30.0,4,75,0.00027842476119260373,0.12892681692974634,0.0718828451796531,0.0718828451796531,0.0718828451796531,0.24759287948798714,8000,3.919358015060425
1.1,3.6,0.2,30.0,0,150,2.0898280392289806e-05,0.07816530744600042,0.027862388850686814,0.027862388850686814,0.027862388850686814,0.19888826951905658,8000,5.472171068191528
1.1,3.6,0.2,30.0,1,150,2.1126442354135557e-05,0.07698669853986018,0.02837721639618085,0.02837721639618085,0.02837721639618085,0.19888826951905658,8000,4.31981086730957
1.1,3.6,0.2,30.0,2,150,2.087206175824441e-05,0.07788426785935898,0.02782799599870056,0.02782799599870056,0.02782799599870056,0.19888826951905658,8000,4.948318958282471
1.1,3.6,0.2,30.0,3,150,2.09176098175513e-05,0.07643643239363135,0.028030701055698493,0.028030701055698493,0.028030701055698493,0.19888826951905658,8000,4.203459978103638
1.1,3.6,0.2,30.0,4,150,2.102741560672034e-05,0.0752213422871395,0.02821873729477886,0.02821873729477886,0.02821873729477886,0.19888826951905658,8000,4.180810928344727
1.1,3.6,0.1,30.0,0,300,8.494594159686087e-07,0.04266835149838988,0.008135050978380742,0.008135050978380742,0.008135050978380742,0.14754524784874734,8000,6.071224927902222
1.1,3.6,0.1,30.0,1,300,1.1794405614457557e-06,0.041695526112244086,0.010557731507277457,0.010557731507277457,0.010557731507277457,0.14754524784874734,8000,5.772807836532593
1.1,3.6,0.1,30.0,2,300,7.832742804529307e-07,0.04049219947634186,0.007558917974049173,0.007558917974049173,0.007558917974049173,0.14754524784874734,8000,6.508707046508789
1.1,3.6,0.1,30.0,3,300,8.314944302409755e-07,0.041590290545488295,0.008292479219987436,0.008292479219987436,0.008292479219987436,0.14754524784874734,8000,5.7728657722473145
1.1,3.6,0.1,30.0,4,300,8.340285253414503e-07,0.041161417120495314,0.00835929480032882,0.00835929480032882,0.00835929480032882,0.14754524784874734,8000,5.7763352394104
1.1,3.6,0.05,30.0,0,600,8.755111651277954e-08,0.021852093572557074,0.003433746141702554,0.003433746141702554,0.003433746141702554,0.08560838582487018,8000,8.551646947860718
1.1,3.6,0.05,30.0,1,600,8.179570424286827e-08,0.021714675341593936,0.0031958960133372516,0.0031958960133372516,0.0031958960133372516,0.08560838582487018,8000,8.559847116470337
1.1,3.6,0.05,30.0,2,600,7.013360727501736e-08,0.021556629843625552,0.0031270618329247712,0.0031270618329247712,0.0031270618329247712,0.08560838582487018,8000,8.565047025680542
1.1,3.6,0.05,30.0,3,600,7.125480693869714e-08,0.021066636215399503,0.0031809309632119254,0.0031809309632119254,0.0031809309632119254,0.08560838582487018,8000,8.471722841262817
1.1,3.6,0.05,30.0,4,600,7.310732511270771e-08,0.02156757107987961,0.0032274894870734094,0.0032274894870734094,0.0032274894870734094,0.08560838582487018,8000,8.65136981010437
1.1,3.6,0.025,30.0,0,1200,3.2690566358537996e-09,0.011370830697385925,0.0009933344067989403,0.0009933344067989403,0.0009933344067989403,0.044722655451845617,8000,19.962585926055908
1.1,3.6,0.025,30.0,1,1200,3.0183049551236917e-09,0.01110464450186166,0.0010210329520153882,0.0010210329520153882,0.0010210329520153882,0.044722655451845617,8000,20.21880078315735
1.1,3.6,0.025,30.0,2,1200,2.5688931756196716e-09,0.01101416112197201,0.0008567708312631206,0.0008567708312631206,0.0008567708312631206,0.044722655451845617,8000,20.202104091644287
1.1,3.6,0.025,30.0,3,1200,4.225174093491373e-09,0.01135339330225632,0.0011308003378447395,0.0011308003378447395,0.0011308003378447395,0.044722655451845617,8000,20.154227018356323
1.1,3.6,0.025,30.0,4,1200,2.024586656490181e-09,0.01095072558416993,0.0008634347749750804,0.0008634347749750804,0.0008634347749750804,0.044722655451845617,8000,20.288900136947632
1.1,3.6,0.0125,30.0,0,2400,2.111679869496232e-09,0.005990894371555533,0.0005250947565643704,0.0005250947565643704,0.0005250947565643704,0.022562998382891664,8000,73.64294815063477
1.1,3.6,0.0125,30.0,1,2400,3.0266135614589227e-09,0.0060654849864841265,0.00055261910585791,0.00055261910585791,0.00055261910585791,0.022562998382891664,8000,96.98673415184021
1.1,3.6,0.0125,30.0,2,2400,1.2702440359113407e-09,0.005581127360906046,0.00035028070690068525,0.00035028070690068525,0.00035028070690068525,0.022562998382891664,8000,73.42011308670044
1.1,3.6,0.0125,30.0,3,2400,3.361924959293431e-09,0.006070797828183483,0.0006327961567338392,0.0006327961567338392,0.0006327961567338392,0.022562998382891664,8000,96.42673516273499
1.1,3.6,0.0125,30.0,4,2400,4.450638712936155e-10,0.005554646940077401,0.0003986513603444486,0.0003986513603444486,0.0003986513603444486,0.022562998382891664,8000,74.28260922431946
1.2,2.7,0.4,30.0,0,75,0.00017392187517175346,0.13747034168367706,0.05878123285676179,0.05878123285676179,0.05878123285676179,0.2118779055386767,8000,3.9169600009918213
1.2,2.7,0.4,30.0,1,75,0.00017374186439142887,0.13352423617703035,0.05868079546053856,0.05868079546053856,0.05868079546053856,0.2118779055386767,8000,3.9909451007843018
1.2,2.7,0.4,30.0,2,75,0.00017378436957942665,0.1318379705354884,0.05871779579144315,0.05871779579144315,0.05871779579144315,0.2118779055386767,8000,3.759066104888916
